head_cui,tail_cui,rela,relation,sab
C0019187,C0023884,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0019360,C0027740,finding_site_of,LOCATED_IN,SCTSPA
C0020538,C0020261,may_be_treated_by,TREATED_WITH,MED-RT
C0021368,C0020268,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0020268,may_be_treated_by,TREATED_WITH,MED-RT
C0024141,C0020336,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0020336,may_be_treated_by,TREATED_WITH,MED-RT
C0020538,C0700579,may_treat,TREATED_WITH,MED-RT
C0020550,C0040132,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0020649,C0028351,may_treat,TREATED_WITH,MED-RT
C0020676,C0040132,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0021359,C0733758,may_treat,TREATED_WITH,MED-RT
C0021368,C0025815,may_treat,TREATED_WITH,MED-RT
C0021368,C0032950,may_treat,TREATED_WITH,MED-RT
C0021368,C0032952,may_treat,TREATED_WITH,MED-RT
C0151594,C0021853,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0232693,C0021853,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0278008,C0021853,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0695242,C0021853,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0041296,C0022209,may_be_treated_by,TREATED_WITH,MED-RT
C0030193,C0022614,may_be_treated_by,TREATED_WITH,MED-RT
C0022660,C0022646,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0022661,C0022646,has_finding_site,LOCATED_IN,SNOMEDCT_US
C1561643,C0022646,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0030193,C0023660,may_be_treated_by,TREATED_WITH,MED-RT
C0024050,C0226875,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0024110,C0024109,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0034079,C0024109,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0041327,C0024109,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0876973,C0024109,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0024141,C0025815,may_treat,TREATED_WITH,MED-RT
C0024141,C0032950,may_treat,TREATED_WITH,MED-RT
C0024141,C0032952,may_treat,TREATED_WITH,MED-RT
C0030193,C0025376,may_be_treated_by,TREATED_WITH,MED-RT
C0028754,C0025611,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0025815,may_be_treated_by,TREATED_WITH,MED-RT
C0039103,C0025815,may_be_treated_by,TREATED_WITH,MED-RT
C0041327,C0025815,may_be_treated_by,TREATED_WITH,MED-RT
C0026266,C0026264,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0026269,C0026264,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0264765,C0026264,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0027051,C0700579,may_treat,TREATED_WITH,MED-RT
C0270933,C0027740,has_finding_site,LOCATED_IN,SCTSPA
C0393847,C0027740,has_finding_site,LOCATED_IN,SCTSPA
C0429379,C0027740,has_finding_site,LOCATED_IN,SCTSPA
C0442874,C0027740,has_finding_site,LOCATED_IN,SCTSPA
C0029456,C0262950,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0032285,C0030054,may_be_treated_by,TREATED_WITH,MED-RT
C0035229,C0030054,may_be_treated_by,TREATED_WITH,MED-RT
C0030193,C0074414,may_treat,TREATED_WITH,MED-RT
C0030193,C0113293,may_treat,TREATED_WITH,MED-RT
C0030305,C0030274,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0877425,C0030274,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0347944,C0030797,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0032787,C0043031,may_treat,TREATED_WITH,MED-RT
C0035435,C0032950,may_be_treated_by,TREATED_WITH,MED-RT
C0039103,C0032950,may_be_treated_by,TREATED_WITH,MED-RT
C0040034,C0032950,may_be_treated_by,TREATED_WITH,MED-RT
C0041327,C0032950,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0032952,may_be_treated_by,TREATED_WITH,MED-RT
C0039103,C0032952,may_be_treated_by,TREATED_WITH,MED-RT
C0041327,C0032952,may_be_treated_by,TREATED_WITH,MED-RT
C0034065,C0043031,may_treat,TREATED_WITH,MED-RT
C0034642,C0817096,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0267596,C0034896,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0240916,C0035298,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0043352,C0036098,has_finding_site,LOCATED_IN,SNOMEDCT_US
C5546448,C0037925,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0272412,C0037993,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0117002,C0040132,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0040961,C0040960,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0042133,C0042149,finding_site_of,LOCATED_IN,SNOMEDCT_US
C1384674,C0042149,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0042487,C0042449,has_finding_site,LOCATED_IN,SNOMEDCT_US
C5970507,C0043262,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0243026,C0085297,may_be_treated_by,TREATED_WITH,MED-RT
C0085695,C3714551,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0149721,C0225897,finding_site_of,LOCATED_IN,SNOMEDCT_VET
C0232493,C0230185,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0232494,C0230185,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0232292,C0817096,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0232492,C2937240,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0520679,C0458827,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0541828,C0817096,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0546837,C3658706,may_treat,TREATED_WITH,MED-RT
C0740411,C3714551,finding_site_of,LOCATED_IN,SNOMEDCT_US
C5394701,C0817096,has_finding_site,LOCATED_IN,SNOMEDCT_US
