case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC10405809_01,PMC10405809,2577,2582,20 mg,False,20,,,mg,mg,mass,2527,2537,dilatation,Diagnosis,same_sentence,C0012359,concept:C0012359
PMC10405809_01,PMC10405809,2624,2632,6 months,False,6,,,months,months,time,2606,2616,hematinics,Treatment,window_fallback,C0018928,concept:C0018928
PMC10405809_01,PMC10405809,2645,2649,7 kg,False,7,,,kg,kg,mass,2669,2683,feeds normally,Finding,same_sentence_forward,C0424871,concept:C0424871
PMC10434843_01,PMC10434843,414,421,2 years,False,2,,,years,years,time,403,413,right hand,BodyPart,same_sentence,C0230370,concept:C0230370
PMC10434843_01,PMC10434843,1964,1972,603 mg/l,False,603,,,mg/l,mg/l,lab_concentration,1942,1955,total protein,Exam,same_sentence,C0555903,concept:C0555903
PMC10434843_01,PMC10434843,2196,2201,33.7%,False,33.7,,,%,%,percentage,2182,2184,CD,Finding,same_sentence,C0332140,concept:C0332140
PMC10434843_01,PMC10434843,3145,3148,50%,False,50,,,%,%,percentage,3070,3098,motor nerve conduction block,Finding,same_sentence,C0429379,concept:C0429379
PMC10434843_01,PMC10434843,4874,4881,4 weeks,False,4,,,weeks,weeks,time,4863,4867,IVIG,Treatment,same_sentence,C0085297,concept:C0085297
PMC10434843_01,PMC10434843,5202,5209,3-month,False,3,,,month,month,time,5097,5102,wrist,BodyPart,same_sentence,C0043262,concept:C0043262
PMC10434843_01,PMC10434843,5484,5487,50%,False,50,,,%,%,percentage,5428,5456,motor nerve conduction block,Finding,same_sentence,C0429379,concept:C0429379
PMC10488652_01,PMC10488652,154,161,10 days,False,10,,,days,days,time,46,61,medical history,Finding,same_sentence,C0262926,concept:C0262926
PMC10488652_01,PMC10488652,1007,1015,6.2 g/dl,False,6.2,,,g/dl,g/dl,lab_concentration,973,981,dilution,Exam,same_sentence,C0079240,concept:C0079240
PMC10488652_01,PMC10488652,1028,1033,18.1%,False,18.1,,,%,%,percentage,1017,1027,hematocrit,Exam,same_sentence,C0018935,concept:C0018935
PMC10488652_01,PMC10488652,1362,1367,40 mg,False,40,,,mg,mg,mass,1335,1348,dexamethasone,Treatment,same_sentence,C0011777,concept:C0011777
PMC10488652_01,PMC10488652,1392,1398,4 days,False,4,,,days,days,time,1335,1348,dexamethasone,Treatment,same_sentence,C0011777,concept:C0011777
PMC10488652_01,PMC10488652,1435,1441,200 mg,False,200,,,mg,mg,mass,1403,1421,hydroxychloroquine,Treatment,same_sentence,C0020336,concept:C0020336
PMC10488652_01,PMC10488652,1766,1770,5 mg,False,5,,,mg,mg,mass,1742,1752,prednisone,Treatment,same_sentence,C0032952,concept:C0032952
PMC10488652_01,PMC10488652,1817,1823,200 mg,False,200,,,mg,mg,mass,1785,1803,hydroxychloroquine,Treatment,same_sentence,C0020336,concept:C0020336
PMC10488652_01,PMC10488652,1876,1882,500 mg,False,500,,,mg,mg,mass,1841,1862,mycophenolate mofetil,Treatment,same_sentence,C0209368,concept:C0209368
PMC10488652_01,PMC10488652,1889,1897,12 hours,False,12,,,hours,hours,time,1841,1862,mycophenolate mofetil,Treatment,same_sentence,C0209368,concept:C0209368
PMC10488652_01,PMC10488652,1939,1945,500 mg,False,500,,,mg,mg,mass,1841,1862,mycophenolate mofetil,Treatment,same_sentence,C0209368,concept:C0209368
